1	2
1	102
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	36
36	37
37	38
38	39
39	40
40	41
41	42
42	43
43	44
44	45
45	46
46	47
47	48
48	49
49	50
50	51
51	52
52	53
53	54
54	55
55	56
56	57
57	58
58	59
59	60
60	61
61	62
62	63
63	64
64	65
65	66
66	67
67	68
68	69
69	70
70	71
71	72
72	73
73	74
74	75
75	76
76	77
77	78
78	79
79	80
80	81
81	82
82	83
83	84
84	85
85	86
86	87
87	88
88	89
89	90
90	91
91	92
92	93
93	94
94	95
95	96
96	97
97	98
98	99
99	100
100	101
101	202
102	203
202	303
203	304
303	404
304	405
404	505
405	506
505	606
506	607
606	707
607	708
707	808
708	809
808	909
809	910
909	1010
910	1011
1010	1111
1011	1112
1111	1212
1112	1213
1212	1313
1213	1314
1313	1414
1314	1415
1414	1515
1415	1516
1515	1616
1516	1617
1616	1717
1617	1718
1717	1818
1718	1819
1818	1919
1819	1920
1919	2020
1920	2021
2020	2121
2021	2122
2121	2222
2122	2223
2222	2323
2223	2324
2323	2424
2324	2425
2424	2525
2425	2526
2525	2626
2526	2627
2626	2727
2627	2728
2727	2828
2728	2829
2828	2929
2829	2930
2929	3030
2930	3031
3030	3131
3031	3132
3131	3232
3132	3233
3232	3333
3233	3334
3333	3434
3334	3435
3434	3535
3435	3536
3535	3636
3536	3637
3636	3737
3637	3738
3737	3838
3738	3839
3838	3939
3839	3940
3939	4040
3940	4041
4040	4141
4041	4142
4141	4242
4142	4243
4242	4343
4243	4344
4343	4444
4344	4445
4444	4545
4445	4546
4545	4646
4546	4647
4646	4747
4647	4748
4747	4848
4748	4849
4848	4949
4849	4950
4949	5050
4950	5051
5050	5151
5051	5152
5151	5252
5152	5253
5252	5353
5253	5354
5353	5454
5354	5455
5454	5555
5455	5556
5555	5656
5556	5657
5656	5757
5657	5758
5757	5858
5758	5859
5858	5959
5859	5960
5959	6060
5960	6061
6060	6161
6061	6162
6161	6262
6162	6263
6262	6363
6263	6364
6363	6464
6364	6465
6464	6565
6465	6566
6565	6666
6566	6667
6666	6767
6667	6768
6767	6868
6768	6869
6868	6969
6869	6970
6969	7070
6970	7071
7070	7171
7071	7172
7171	7272
7172	7273
7272	7373
7273	7374
7373	7474
7374	7475
7474	7575
7475	7576
7575	7676
7576	7677
7676	7777
7677	7778
7777	7878
7778	7879
7878	7979
7879	7980
7979	8080
7980	8081
8080	8181
8081	8182
8181	8282
8182	8283
8282	8383
8283	8384
8383	8484
8384	8485
8484	8585
8485	8586
8585	8686
8586	8687
8686	8787
8687	8788
8787	8888
8788	8889
8888	8989
8889	8990
8989	9090
8990	9091
9090	9191
9091	9192
9191	9292
9192	9293
9292	9393
9293	9394
9393	9494
9394	9495
9494	9595
9495	9596
9595	9696
9596	9697
9696	9797
9697	9798
9797	9898
9798	9899
9898	9999
9899	10000
9999	10100
10000	10101
10100	10201
10101	10102
10102	10103
10103	10104
10104	10105
10105	10106
10106	10107
10107	10108
10108	10109
10109	10110
10110	10111
10111	10112
10112	10113
10113	10114
10114	10115
10115	10116
10116	10117
10117	10118
10118	10119
10119	10120
10120	10121
10121	10122
10122	10123
10123	10124
10124	10125
10125	10126
10126	10127
10127	10128
10128	10129
10129	10130
10130	10131
10131	10132
10132	10133
10133	10134
10134	10135
10135	10136
10136	10137
10137	10138
10138	10139
10139	10140
10140	10141
10141	10142
10142	10143
10143	10144
10144	10145
10145	10146
10146	10147
10147	10148
10148	10149
10149	10150
10150	10151
10151	10152
10152	10153
10153	10154
10154	10155
10155	10156
10156	10157
10157	10158
10158	10159
10159	10160
10160	10161
10161	10162
10162	10163
10163	10164
10164	10165
10165	10166
10166	10167
10167	10168
10168	10169
10169	10170
10170	10171
10171	10172
10172	10173
10173	10174
10174	10175
10175	10176
10176	10177
10177	10178
10178	10179
10179	10180
10180	10181
10181	10182
10182	10183
10183	10184
10184	10185
10185	10186
10186	10187
10187	10188
10188	10189
10189	10190
10190	10191
10191	10192
10192	10193
10193	10194
10194	10195
10195	10196
10196	10197
10197	10198
10198	10199
10199	10200
10200	10201
