-3.1416	-3.1416	-3.1416
-3.1416	-2.8274	-3.1416
-3.1416	-2.5133	-3.1416
-3.1416	-2.1991	-3.1416
-3.1416	-1.885	-3.1416
-3.1416	-1.5708	-3.1416
-3.1416	-1.2566	-3.1416
-3.1416	-0.94248	-3.1416
-3.1416	-0.62832	-3.1416
-3.1416	-0.31416	-3.1416
-3.1416	0	-3.1416
-3.1416	0.31416	-3.1416
-3.1416	0.62832	-3.1416
-3.1416	0.94248	-3.1416
-3.1416	1.2566	-3.1416
-3.1416	1.5708	-3.1416
-3.1416	1.885	-3.1416
-3.1416	2.1991	-3.1416
-3.1416	2.5133	-3.1416
-3.1416	2.8274	-3.1416
-3.1416	3.1416	-3.1416
-2.8274	-3.1416	-3.1416
-2.8274	-2.8274	-3.1416
-2.8274	-2.5133	-3.1416
-2.8274	-2.1991	-3.1416
-2.8274	-1.885	-3.1416
-2.8274	-1.5708	-3.1416
-2.8274	-1.2566	-3.1416
-2.8274	-0.94248	-3.1416
-2.8274	-0.62832	-3.1416
-2.8274	-0.31416	-3.1416
-2.8274	0	-3.1416
-2.8274	0.31416	-3.1416
-2.8274	0.62832	-3.1416
-2.8274	0.94248	-3.1416
-2.8274	1.2566	-3.1416
-2.8274	1.5708	-3.1416
-2.8274	1.885	-3.1416
-2.8274	2.1991	-3.1416
-2.8274	2.5133	-3.1416
-2.8274	2.8274	-3.1416
-2.8274	3.1416	-3.1416
-2.5133	-3.1416	-3.1416
-2.5133	-2.8274	-3.1416
-2.5133	-2.5133	-3.1416
-2.5133	-2.1991	-3.1416
-2.5133	-1.885	-3.1416
-2.5133	-1.5708	-3.1416
-2.5133	-1.2566	-3.1416
-2.5133	-0.94248	-3.1416
-2.5133	-0.62832	-3.1416
-2.5133	-0.31416	-3.1416
-2.5133	0	-3.1416
-2.5133	0.31416	-3.1416
-2.5133	0.62832	-3.1416
-2.5133	0.94248	-3.1416
-2.5133	1.2566	-3.1416
-2.5133	1.5708	-3.1416
-2.5133	1.885	-3.1416
-2.5133	2.1991	-3.1416
-2.5133	2.5133	-3.1416
-2.5133	2.8274	-3.1416
-2.5133	3.1416	-3.1416
-2.1991	-3.1416	-3.1416
-2.1991	-2.8274	-3.1416
-2.1991	-2.5133	-3.1416
-2.1991	-2.1991	-3.1416
-2.1991	-1.885	-3.1416
-2.1991	-1.5708	-3.1416
-2.1991	-1.2566	-3.1416
